date,team1,score1,team2,score2,venue,score_diff
11/17/2023,Texas A&M Commerce,57,Saint Joseph's,54,Saint Joseph's,3
11/26/2023,Sacred Heart,55,Saint Joseph's,64,Saint Joseph's,-9
12/02/2023,Temple,65,Saint Joseph's,74,Saint Joseph's,-9
12/06/2023,American,53,Saint Joseph's,69,Saint Joseph's,-16
12/10/2023,Princeton,70,Saint Joseph's,74,Saint Joseph's,-4
12/16/2023,Iona,58,Saint Joseph's,83,Saint Joseph's,-25
12/29/2023,Loyola MD,56,Saint Joseph's,97,Saint Joseph's,-41
11/06/2023,Southern Indiana,63,Saint Louis,75,Saint Louis,-12
11/08/2023,Lincoln MO,66,Saint Louis,102,Saint Louis,-36
11/11/2023,Illinois St.,71,Saint Louis,80,Saint Louis,-9
11/17/2023,Vermont,78,Saint Louis,68,Saint Louis,10
11/25/2023,Dartmouth,65,Saint Louis,66,Saint Louis,-1
11/28/2023,Utah St.,81,Saint Louis,76,Saint Louis,5
12/09/2023,Hofstra,68,Saint Louis,71,Saint Louis,-3
12/16/2023,Louisiana Tech,74,Saint Louis,75,Saint Louis,-1
11/06/2023,Cal St.Stanislaus,28,Saint Mary's,107,Saint Mary's,-79
11/09/2023,New Mexico,58,Saint Mary's,72,Saint Mary's,-14
11/12/2023,Weber St.,61,Saint Mary's,57,Saint Mary's,4
11/17/2023,San Diego St.,79,Saint Mary's,54,Saint Mary's,25
11/24/2023,Davidson,55,Saint Mary's,89,Saint Mary's,-34
11/27/2023,Utah,78,Saint Mary's,71,Saint Mary's,7
12/05/2023,Cleveland St.,57,Saint Mary's,70,Saint Mary's,-13
12/16/2023,UNLV,67,Saint Mary's,69,Saint Mary's,-2
12/19/2023,Middle Tennessee,34,Saint Mary's,71,Saint Mary's,-37
12/21/2023,Northern Kentucky,56,Saint Mary's,92,Saint Mary's,-36
12/23/2023,Missouri St.,69,Saint Mary's,64,Saint Mary's,5
12/29/2023,Kent St.,46,Saint Mary's,66,Saint Mary's,-20
11/20/2023,UMass Lowell,69,Saint Peter's,61,Saint Peter's,8
12/12/2023,UMBC,60,Saint Peter's,66,Saint Peter's,-6
12/22/2023,Kean,70,Saint Peter's,73,Saint Peter's,-3
11/09/2023,Utah Valley,79,Sam Houston St.,73,Sam Houston St.,6
11/22/2023,Grambling St.,68,Sam Houston St.,86,Sam Houston St.,-18
11/25/2023,Paul Quinn,61,Sam Houston St.,78,Sam Houston St.,-17
12/03/2023,Lamar,70,Sam Houston St.,90,Sam Houston St.,-20
12/12/2023,Louisiana Monroe,62,Sam Houston St.,63,Sam Houston St.,-1
12/15/2023,Texas St.,73,Sam Houston St.,60,Sam Houston St.,13
11/14/2023,Mississippi College,52,Samford,96,Samford,-44
11/17/2023,South Carolina St.,72,Samford,89,Samford,-17
11/22/2023,Alabama St.,67,Samford,99,Samford,-32
11/24/2023,Merrimack,71,Samford,79,Samford,-8
11/25/2023,North Carolina A&T,83,Samford,101,Samford,-18
11/30/2023,Louisiana,65,Samford,88,Samford,-23
12/03/2023,LaGrange,82,Samford,128,Samford,-46
12/11/2023,Alabama A&M,91,Samford,118,Samford,-27
12/16/2023,Belmont,93,Samford,99,Samford,-6
11/06/2023,Sonoma St.,64,San Diego,68,San Diego,-4
11/08/2023,Jackson St.,61,San Diego,87,San Diego,-26
11/17/2023,Le Moyne,71,San Diego,80,San Diego,-9
11/20/2023,Navy,59,San Diego,67,San Diego,-8
11/24/2023,Arkansas St.,57,San Diego,71,San Diego,-14
11/25/2023,Hawaii,77,San Diego,66,San Diego,11
11/29/2023,Northern Colorado,72,San Diego,74,San Diego,-2
12/09/2023,Arizona St.,84,San Diego,89,San Diego,-5
12/15/2023,Portland St.,65,San Diego,69,San Diego,-4
12/21/2023,South Dakota,66,San Diego,69,San Diego,-3
12/29/2023,Fresno St.,71,San Diego,67,San Diego,4
12/31/2023,Westcliff,65,San Diego,78,San Diego,-13
11/06/2023,Cal St. Fullerton,57,San Diego St.,83,San Diego St.,-26
11/14/2023,Long Beach St.,76,San Diego St.,88,San Diego St.,-12
11/25/2023,California,67,San Diego St.,76,San Diego St.,-9
11/27/2023,Point Loma Nazarene,51,San Diego St.,71,San Diego St.,-20
12/09/2023,UC Irvine,62,San Diego St.,63,San Diego St.,-1
12/19/2023,Saint Katherine,57,San Diego St.,91,San Diego St.,-34
12/21/2023,Stanford,60,San Diego St.,74,San Diego St.,-14
11/06/2023,Bethesda,59,San Francisco,128,San Francisco,-69
11/09/2023,Saint Francis,52,San Francisco,84,San Francisco,-32
11/22/2023,Purdue Fort Wayne,60,San Francisco,76,San Francisco,-16
11/26/2023,Minnesota,58,San Francisco,76,San Francisco,-18
12/11/2023,New Orleans,72,San Francisco,85,San Francisco,-13
12/13/2023,Seattle,59,San Francisco,62,San Francisco,-3
12/20/2023,Northern Arizona,51,San Francisco,91,San Francisco,-40
12/22/2023,Fresno St.,57,San Francisco,77,San Francisco,-20
12/30/2023,Mississippi Valley St.,42,San Francisco,92,San Francisco,-50
11/07/2023,UC Irvine,64,San Jose St.,72,San Jose St.,-8
11/09/2023,Bethesda,72,San Jose St.,117,San Jose St.,-45
11/17/2023,Abilene Christian,77,San Jose St.,71,San Jose St.,6
11/18/2023,Norfolk St.,53,San Jose St.,77,San Jose St.,-24
11/27/2023,North Dakota St.,65,San Jose St.,78,San Jose St.,-13
12/09/2023,New Orleans,82,San Jose St.,87,San Jose St.,-5
12/17/2023,Montana,86,San Jose St.,75,San Jose St.,11
12/20/2023,Santa Clara,78,San Jose St.,81,San Jose St.,-3
11/08/2023,Utah Tech,69,Santa Clara,77,Santa Clara,-8
11/11/2023,Saint Francis,59,Santa Clara,82,Santa Clara,-23
11/18/2023,Southeastern Louisiana,63,Santa Clara,65,Santa Clara,-2
11/20/2023,Mississippi Valley St.,39,Santa Clara,81,Santa Clara,-42
11/24/2023,Oregon,82,Santa Clara,88,Santa Clara,-6
11/25/2023,Ohio St.,86,Santa Clara,56,Santa Clara,30
11/29/2023,Menlo,69,Santa Clara,106,Santa Clara,-37
12/13/2023,Utah St.,84,Santa Clara,82,Santa Clara,2
12/23/2023,Duquesne,73,Santa Clara,81,Santa Clara,-8
12/30/2023,Yale,66,Santa Clara,58,Santa Clara,8
11/08/2023,Prairie View A&M,60,Seattle,71,Seattle,-11
11/11/2023,Montana St.,68,Seattle,71,Seattle,-3
11/15/2023,Northern Arizona,62,Seattle,60,Seattle,2
11/22/2023,Idaho,55,Seattle,92,Seattle,-37
11/26/2023,UC San Diego,67,Seattle,79,Seattle,-12
12/02/2023,Southern Utah,63,Seattle,73,Seattle,-10
12/09/2023,Northwest,46,Seattle,101,Seattle,-55
12/17/2023,Washington,100,Seattle,99,Seattle,1
12/20/2023,Louisiana Tech,73,Seattle,79,Seattle,-6
11/06/2023,Saint Peter's,59,Seton Hall,70,Seton Hall,-11
11/11/2023,Fairleigh Dickinson,55,Seton Hall,85,Seton Hall,-30
11/15/2023,Albany,71,Seton Hall,96,Seton Hall,-25
11/18/2023,Wagner,51,Seton Hall,72,Seton Hall,-21
11/24/2023,Iowa,85,Seton Hall,72,Seton Hall,13
11/29/2023,Northeastern,75,Seton Hall,88,Seton Hall,-13
12/09/2023,Rutgers,70,Seton Hall,63,Seton Hall,7
12/12/2023,Monmouth,61,Seton Hall,70,Seton Hall,-9
12/20/2023,Connecticut,60,Seton Hall,75,Seton Hall,-15
11/06/2023,Holy Cross,71,Siena,73,Siena,-2
11/26/2023,Albany,86,Siena,51,Siena,35
12/01/2023,Rider,65,Siena,67,Siena,-2
12/06/2023,Bryant,67,Siena,51,Siena,16
12/19/2023,Cornell,95,Siena,74,Siena,21
11/06/2023,Mobile,83,South Alabama,74,South Alabama,9
11/16/2023,Nicholls St.,102,South Alabama,97,South Alabama,5
11/17/2023,Denver,75,South Alabama,82,South Alabama,-7
11/19/2023,SIU Edwardsville,74,South Alabama,86,South Alabama,-12
11/21/2023,Lynn,62,South Alabama,74,South Alabama,-12
12/09/2023,Spring Hill,74,South Alabama,91,South Alabama,-17
12/21/2023,Alabama A&M,67,South Alabama,83,South Alabama,-16
11/06/2023,USC Upstate,53,South Carolina,82,South Carolina,-29
11/10/2023,Virginia Tech,77,South Carolina,79,South Carolina,-2
11/13/2023,VMI,64,South Carolina,74,South Carolina,-10
11/17/2023,DePaul,68,South Carolina,73,South Carolina,-5
11/28/2023,Notre Dame,53,South Carolina,65,South Carolina,-12
12/01/2023,George Washington,67,South Carolina,89,South Carolina,-22
12/16/2023,Charleston Southern,69,South Carolina,73,South Carolina,-4
12/19/2023,Winthrop,62,South Carolina,72,South Carolina,-10
12/22/2023,Elon,43,South Carolina,70,South Carolina,-27
12/30/2023,Florida A&M,62,South Carolina,94,South Carolina,-32
11/06/2023,Voorhees,57,South Carolina St.,65,South Carolina St.,-8
11/13/2023,North Florida,77,South Carolina St.,87,South Carolina St.,-10
12/09/2023,Bethune Cookman,80,South Carolina St.,71,South Carolina St.,9
12/11/2023,Jacksonville,85,South Carolina St.,86,South Carolina St.,-1
12/22/2023,Brewton Parker,84,South Carolina St.,101,South Carolina St.,-17
11/06/2023,Mount Marty,53,South Dakota,85,South Dakota,-32
11/10/2023,UT Rio Grande Valley,79,South Dakota,100,South Dakota,-21
11/22/2023,Northland,48,South Dakota,100,South Dakota,-52
11/26/2023,Air Force,58,South Dakota,57,South Dakota,1
11/28/2023,Waldorf,71,South Dakota,93,South Dakota,-22
12/09/2023,Cal St. Bakersfield,73,South Dakota,78,South Dakota,-5
12/31/2023,Nebraska Omaha,67,South Dakota,51,South Dakota,16
11/06/2023,Akron,81,South Dakota St.,75,South Dakota St.,6
11/08/2023,Dakota Wesleyan,55,South Dakota St.,83,South Dakota St.,-28
11/20/2023,George Mason,73,South Dakota St.,71,South Dakota St.,2
11/27/2023,Mount Marty,70,South Dakota St.,92,South Dakota St.,-22
12/01/2023,Towson,48,South Dakota St.,61,South Dakota St.,-13
12/05/2023,Kent St.,82,South Dakota St.,73,South Dakota St.,9
12/14/2023,Mayville St.,62,South Dakota St.,94,South Dakota St.,-32
12/31/2023,North Dakota,61,South Dakota St.,80,South Dakota St.,-19
11/09/2023,South Carolina St.,52,South Florida,96,South Florida,-44
11/15/2023,Central Michigan,68,South Florida,63,South Florida,5
11/19/2023,Northern Iowa,65,South Florida,74,South Florida,-9
11/22/2023,Maine,70,South Florida,59,South Florida,11
12/09/2023,Florida St.,72,South Florida,88,South Florida,-16
12/12/2023,Arkansas Pine Bluff,86,South Florida,104,South Florida,-18
12/16/2023,Loyola Chicago,64,South Florida,77,South Florida,-13
12/22/2023,Albany,73,South Florida,89,South Florida,-16
12/29/2023,Alabama St.,70,South Florida,73,South Florida,-3
11/15/2023,Evansville,76,Southeast Missouri St.,57,Southeast Missouri St.,19
11/20/2023,Central Arkansas,68,Southeast Missouri St.,70,Southeast Missouri St.,-2
11/25/2023,Evansville,93,Southeast Missouri St.,74,Southeast Missouri St.,19
12/03/2023,Missouri Baptist,56,Southeast Missouri St.,84,Southeast Missouri St.,-28
12/06/2023,Harris Stowe,45,Southeast Missouri St.,95,Southeast Missouri St.,-50
12/17/2023,Lindsey Wilson,59,Southeast Missouri St.,87,Southeast Missouri St.,-28
12/29/2023,Southern Indiana,91,Southeast Missouri St.,93,Southeast Missouri St.,-2
12/31/2023,Morehead St.,83,Southeast Missouri St.,64,Southeast Missouri St.,19
11/06/2023,Delta St.,71,Southeastern Louisiana,90,Southeastern Louisiana,-19
11/25/2023,Tennessee St.,91,Southeastern Louisiana,77,Southeastern Louisiana,14
11/28/2023,Southern New Orleans,55,Southeastern Louisiana,101,Southeastern Louisiana,-46
12/20/2023,Grambling St.,47,Southeastern Louisiana,48,Southeastern Louisiana,-1
12/30/2023,Loyola LA,64,Southeastern Louisiana,87,Southeastern Louisiana,-23
12/09/2023,Southeastern Louisiana,44,Southern,69,Southern,-25
12/12/2023,Champion Christian,61,Southern,109,Southern,-48
12/19/2023,Wiley,49,Southern,82,Southern,-33
12/31/2023,Ecclesia,42,Southern,115,Southern,-73
11/06/2023,Kentucky St.,57,Southern Illinois,88,Southern Illinois,-31
11/10/2023,Queens,68,Southern Illinois,91,Southern Illinois,-23
11/16/2023,Chicago St.,55,Southern Illinois,71,Southern Illinois,-16
11/21/2023,James Madison,82,Southern Illinois,76,Southern Illinois,6
12/02/2023,Saint Louis,62,Southern Illinois,101,Southern Illinois,-39
12/05/2023,Oklahoma St.,68,Southern Illinois,70,Southern Illinois,-2
12/12/2023,Austin Peay,70,Southern Illinois,68,Southern Illinois,2
12/19/2023,North Dakota St.,63,Southern Illinois,76,Southern Illinois,-13
12/22/2023,Southern Indiana,50,Southern Illinois,81,Southern Illinois,-31
12/30/2023,Illinois Chicago,50,Southern Illinois,62,Southern Illinois,-12
11/12/2023,Chicago St.,78,Southern Indiana,67,Southern Indiana,11
11/14/2023,Tiffin,65,Southern Indiana,68,Southern Indiana,-3
11/28/2023,East West,49,Southern Indiana,107,Southern Indiana,-58
12/02/2023,Bowling Green,54,Southern Indiana,52,Southern Indiana,2
12/06/2023,Purdue Fort Wayne,70,Southern Indiana,57,Southern Indiana,13
12/19/2023,St. Francis IL,47,Southern Indiana,79,Southern Indiana,-32
11/06/2023,William Carey,42,Southern Miss,64,Southern Miss,-22
11/15/2023,Xavier LA,45,Southern Miss,76,Southern Miss,-31
11/19/2023,Utah Valley,67,Southern Miss,65,Southern Miss,2
11/22/2023,South Dakota St.,65,Southern Miss,54,Southern Miss,11
12/09/2023,Northwestern St.,74,Southern Miss,83,Southern Miss,-9
11/09/2023,Life Pacific,73,Southern Utah,108,Southern Utah,-35
11/29/2023,Cal Baptist,91,Southern Utah,66,Southern Utah,25
12/09/2023,Idaho St.,74,Southern Utah,82,Southern Utah,-8
12/22/2023,Middle Tennessee,63,Southern Utah,69,Southern Utah,-6
12/30/2023,Antelope Valley,78,Southern Utah,95,Southern Utah,-17
11/06/2023,Longwood,69,St. Bonaventure,73,St. Bonaventure,-4
11/11/2023,Canisius,70,St. Bonaventure,67,St. Bonaventure,3
11/22/2023,Bucknell,61,St. Bonaventure,67,St. Bonaventure,-6
11/25/2023,Miami OH,60,St. Bonaventure,90,St. Bonaventure,-30
12/09/2023,Siena,56,St. Bonaventure,89,St. Bonaventure,-33
12/16/2023,Florida Atlantic,64,St. Bonaventure,54,St. Bonaventure,10
12/22/2023,Binghamton,64,St. Bonaventure,90,St. Bonaventure,-26
11/07/2023,Stony Brook,74,St. John's,90,St. John's,-16
11/13/2023,Michigan,89,St. John's,73,St. John's,16
11/25/2023,Holy Cross,45,St. John's,91,St. John's,-46
12/06/2023,Sacred Heart,50,St. John's,85,St. John's,-35
12/10/2023,Boston College,86,St. John's,80,St. John's,6
12/16/2023,Fordham,55,St. John's,77,St. John's,-22
12/20/2023,Xavier,66,St. John's,81,St. John's,-15
12/30/2023,Hofstra,79,St. John's,84,St. John's,-5
11/10/2023,Idaho St.,53,St. Thomas,54,St. Thomas,-1
11/12/2023,North Central MN,54,St. Thomas,100,St. Thomas,-46
12/06/2023,Milwaukee,71,St. Thomas,75,St. Thomas,-4
12/17/2023,Crown,66,St. Thomas,85,St. Thomas,-19
12/21/2023,Wisconsin River Falls,51,St. Thomas,104,St. Thomas,-53
12/31/2023,UMKC,56,St. Thomas,77,St. Thomas,-21
11/06/2023,Cal St. Northridge,79,Stanford,88,Stanford,-9
11/10/2023,Sacramento St.,73,Stanford,91,Stanford,-18
11/14/2023,Santa Clara,89,Stanford,77,Stanford,12
11/17/2023,Eastern Washington,70,Stanford,95,Stanford,-25
11/22/2023,Arkansas,77,Stanford,74,Stanford,3
11/23/2023,Michigan,83,Stanford,78,Stanford,5
11/24/2023,Northern Iowa,73,Stanford,51,Stanford,22
12/03/2023,San Diego,64,Stanford,88,Stanford,-24
12/17/2023,Idaho,64,Stanford,82,Stanford,-18
12/29/2023,Arizona St.,76,Stanford,73,Stanford,3
12/31/2023,Arizona,82,Stanford,100,Stanford,-18
11/06/2023,North American,68,Stephen F. Austin,96,Stephen F. Austin,-28
11/20/2023,Drake,68,Stephen F. Austin,92,Stephen F. Austin,-24
11/29/2023,Tarleton St.,68,Stephen F. Austin,66,Stephen F. Austin,2
12/05/2023,Louisiana Tech,56,Stephen F. Austin,49,Stephen F. Austin,7
12/19/2023,New Mexico St.,72,Stephen F. Austin,75,Stephen F. Austin,-3
12/22/2023,Paul Quinn,58,Stephen F. Austin,115,Stephen F. Austin,-57
12/29/2023,New Orleans,51,Stephen F. Austin,80,Stephen F. Austin,-29
11/06/2023,Trinity Baptist,54,Stetson,109,Stetson,-55
11/21/2023,Central Michigan,61,Stetson,71,Stetson,-10
11/29/2023,Coastal Georgia,49,Stetson,94,Stetson,-45
12/10/2023,Johnson FL,43,Stetson,123,Stetson,-80
12/29/2023,Charlotte,75,Stetson,79,Stetson,-4
11/09/2023,Army,44,Stonehill,57,Stonehill,-13
11/29/2023,UMass Lowell,80,Stonehill,74,Stonehill,6
12/02/2023,Binghamton,79,Stonehill,64,Stonehill,15
12/17/2023,Hartford,44,Stonehill,71,Stonehill,-27
11/10/2023,St. Joseph's NY,50,Stony Brook,91,Stony Brook,-41
11/20/2023,Rider,48,Stony Brook,55,Stony Brook,-7
12/02/2023,Wagner,60,Stony Brook,59,Stony Brook,1
12/06/2023,Stonehill,63,Stony Brook,81,Stony Brook,-18
12/09/2023,Bryant,75,Stony Brook,86,Stony Brook,-11
12/13/2023,Norfolk St.,78,Stony Brook,84,Stony Brook,-6
12/29/2023,Brown,65,Stony Brook,69,Stony Brook,-4
11/06/2023,New Hampshire,72,Syracuse,83,Syracuse,-11
11/08/2023,Canisius,77,Syracuse,89,Syracuse,-12
11/14/2023,Colgate,75,Syracuse,79,Syracuse,-4
11/20/2023,Tennessee,73,Syracuse,56,Syracuse,17
11/28/2023,LSU,57,Syracuse,80,Syracuse,-23
12/05/2023,Cornell,70,Syracuse,81,Syracuse,-11
12/21/2023,Niagara,71,Syracuse,83,Syracuse,-12
12/30/2023,Pittsburgh,73,Syracuse,81,Syracuse,-8
11/06/2023,Southern,75,TCU,108,TCU,-33
11/09/2023,Nebraska Omaha,60,TCU,82,TCU,-22
11/14/2023,UT Rio Grande Valley,55,TCU,88,TCU,-33
11/17/2023,Mississippi Valley St.,52,TCU,86,TCU,-34
11/21/2023,Alcorn St.,74,TCU,93,TCU,-19
11/27/2023,Houston Christian,64,TCU,101,TCU,-37
12/16/2023,Arizona St.,59,TCU,79,TCU,-20
12/22/2023,Nevada,88,TCU,75,TCU,13
11/11/2023,UNT Dallas,52,Tarleton St.,93,Tarleton St.,-41
11/22/2023,Cal St. Bakersfield,40,Tarleton St.,59,Tarleton St.,-19
12/02/2023,UT Rio Grande Valley,75,Tarleton St.,77,Tarleton St.,-2
12/05/2023,Hardin Simmons,56,Tarleton St.,92,Tarleton St.,-36
12/12/2023,Sterling KS,47,Tarleton St.,85,Tarleton St.,-38
12/18/2023,Jacksonville St.,65,Tarleton St.,62,Tarleton St.,3
11/06/2023,Maryland Eastern Shore,65,Temple,85,Temple,-20
11/18/2023,Columbia,78,Temple,73,Temple,5
11/22/2023,Mississippi,77,Temple,76,Temple,1
11/29/2023,La Salle,99,Temple,106,Temple,-7
12/06/2023,Bloomsburg,55,Temple,85,Temple,-30
12/10/2023,Albany,73,Temple,78,Temple,-5
11/06/2023,Tennessee Tech,42,Tennessee,80,Tennessee,-38
11/14/2023,Wofford,61,Tennessee,82,Tennessee,-21
12/05/2023,George Mason,66,Tennessee,87,Tennessee,-21
12/09/2023,Illinois,79,Tennessee,86,Tennessee,-7
12/12/2023,Georgia Southern,56,Tennessee,74,Tennessee,-18
12/16/2023,N.C. State,70,Tennessee,79,Tennessee,-9
12/21/2023,Tarleton St.,46,Tennessee,65,Tennessee,-19
11/06/2023,Champion Christian,76,Tennessee Martin,104,Tennessee Martin,-28
11/13/2023,Brescia,72,Tennessee Martin,90,Tennessee Martin,-18
11/19/2023,Prairie View A&M,78,Tennessee Martin,66,Tennessee Martin,12
11/22/2023,North Alabama,103,Tennessee Martin,105,Tennessee Martin,-2
12/10/2023,Ecclesia,52,Tennessee Martin,110,Tennessee Martin,-58
12/20/2023,William Woods,75,Tennessee Martin,78,Tennessee Martin,-3
11/06/2023,Fisk,61,Tennessee St.,76,Tennessee St.,-15
11/09/2023,Kentucky St.,58,Tennessee St.,83,Tennessee St.,-25
11/20/2023,Midway,70,Tennessee St.,87,Tennessee St.,-17
11/24/2023,Mercer,60,Tennessee St.,59,Tennessee St.,1
12/02/2023,Austin Peay,65,Tennessee St.,69,Tennessee St.,-4
12/16/2023,Boyce,59,Tennessee St.,117,Tennessee St.,-58
12/28/2023,Tennessee Martin,91,Tennessee St.,75,Tennessee St.,16
12/30/2023,Little Rock,82,Tennessee St.,90,Tennessee St.,-8
11/14/2023,Lipscomb,96,Tennessee Tech,65,Tennessee Tech,31
11/16/2023,Midway,70,Tennessee Tech,82,Tennessee Tech,-12
11/28/2023,Western Carolina,69,Tennessee Tech,65,Tennessee Tech,4
12/03/2023,Alice Lloyd,82,Tennessee Tech,108,Tennessee Tech,-26
12/12/2023,Bethel TN,74,Tennessee Tech,81,Tennessee Tech,-7
12/16/2023,North Alabama,67,Tennessee Tech,70,Tennessee Tech,-3
12/28/2023,Little Rock,81,Tennessee Tech,75,Tennessee Tech,6
12/30/2023,Tennessee Martin,81,Tennessee Tech,73,Tennessee Tech,8
11/06/2023,Incarnate Word,56,Texas,88,Texas,-32
11/10/2023,Delaware St.,59,Texas,86,Texas,-27
11/15/2023,Rice,64,Texas,80,Texas,-16
11/20/2023,Connecticut,81,Texas,71,Texas,10
11/26/2023,Wyoming,63,Texas,86,Texas,-23
11/30/2023,Texas St.,58,Texas,77,Texas,-19
12/09/2023,Houston Christian,50,Texas,77,Texas,-27
12/16/2023,LSU,85,Texas,96,Texas,-11
12/22/2023,Texas A&M Corpus Chris,55,Texas,71,Texas,-16
12/29/2023,UNC Greensboro,37,Texas,72,Texas,-35
11/06/2023,Texas A&M Commerce,46,Texas A&M,78,Texas A&M,-32
11/17/2023,Oral Roberts,66,Texas A&M,74,Texas A&M,-8
11/23/2023,Penn St.,77,Texas A&M,89,Texas A&M,-12
12/06/2023,DePaul,64,Texas A&M,89,Texas A&M,-25
12/10/2023,Memphis,81,Texas A&M,75,Texas A&M,6
12/22/2023,Houston Christian,52,Texas A&M,79,Texas A&M,-27
12/30/2023,Prairie View A&M,54,Texas A&M,79,Texas A&M,-25
11/15/2023,Science and Arts,63,Texas A&M Commerce,113,Texas A&M Commerce,-50
11/20/2023,Stonehill,86,Texas A&M Commerce,97,Texas A&M Commerce,-11
11/26/2023,Denver,71,Texas A&M Commerce,61,Texas A&M Commerce,10
11/29/2023,Dallas Christian,48,Texas A&M Commerce,100,Texas A&M Commerce,-52
12/11/2023,Northern Colorado,99,Texas A&M Commerce,101,Texas A&M Commerce,-2
12/18/2023,Arlington Baptist,53,Texas A&M Commerce,130,Texas A&M Commerce,-77
11/07/2023,Southwestern Adventist,46,Texas A&M Corpus Chris,111,Texas A&M Corpus Chris,-65
11/13/2023,Dallas Christian,45,Texas A&M Corpus Chris,104,Texas A&M Corpus Chris,-59
12/06/2023,UT Rio Grande Valley,76,Texas A&M Corpus Chris,74,Texas A&M Corpus Chris,2
12/09/2023,Nebraska Omaha,58,Texas A&M Corpus Chris,62,Texas A&M Corpus Chris,-4
12/18/2023,Texas Lutheran,50,Texas A&M Corpus Chris,102,Texas A&M Corpus Chris,-52
12/30/2023,Schreiner,61,Texas A&M Corpus Chris,84,Texas A&M Corpus Chris,-23
12/17/2023,Howard,78,Texas Southern,79,Texas Southern,-1
12/21/2023,Samford,87,Texas Southern,65,Texas Southern,22
12/28/2023,Biblical Studies,72,Texas Southern,108,Texas Southern,-36
11/17/2023,UTSA,62,Texas St.,72,Texas St.,-10
11/22/2023,Southern Utah,74,Texas St.,67,Texas St.,7
12/11/2023,Jarvis Christian,58,Texas St.,107,Texas St.,-49
12/18/2023,LeTourneau,68,Texas St.,110,Texas St.,-42
11/08/2023,Texas A&M Commerce,46,Texas Tech,73,Texas Tech,-27
11/12/2023,San Jose St.,42,Texas Tech,56,Texas Tech,-14
11/16/2023,Texas A&M Corpus Chris,64,Texas Tech,73,Texas Tech,-9
11/22/2023,Villanova,85,Texas Tech,69,Texas Tech,16
11/23/2023,Northern Iowa,70,Texas Tech,72,Texas Tech,-2
12/06/2023,Nebraska Omaha,58,Texas Tech,87,Texas Tech,-29
12/12/2023,Oral Roberts,76,Texas Tech,82,Texas Tech,-6
12/16/2023,Vanderbilt,54,Texas Tech,76,Texas Tech,-22
12/21/2023,UT Arlington,66,Texas Tech,77,Texas Tech,-11
12/28/2023,Sam Houston St.,60,Texas Tech,96,Texas Tech,-36
11/10/2023,Boston College,75,The Citadel,71,The Citadel,4
11/16/2023,North Greenville,59,The Citadel,77,The Citadel,-18
11/21/2023,North Carolina Central,61,The Citadel,67,The Citadel,-6
11/28/2023,Charleston Southern,52,The Citadel,81,The Citadel,-29
12/05/2023,Pfeiffer,60,The Citadel,88,The Citadel,-28
12/30/2023,Toccoa Falls,76,The Citadel,106,The Citadel,-30
11/06/2023,Detroit Mercy,60,Toledo,94,Toledo,-34
11/11/2023,Louisiana,78,Toledo,87,Toledo,-9
11/22/2023,UC Irvine,77,Toledo,71,Toledo,6
12/02/2023,George Mason,86,Toledo,77,Toledo,9
12/09/2023,Northern Iowa,80,Toledo,84,Toledo,-4
12/13/2023,Marshall,87,Toledo,88,Toledo,-1
12/20/2023,Vermont,86,Toledo,60,Toledo,26
11/12/2023,Robert Morris,62,Towson,66,Towson,-4
11/16/2023,Houston,65,Towson,49,Towson,16
11/19/2023,North Texas,65,Towson,39,Towson,26
11/26/2023,Morgan St.,58,Towson,67,Towson,-9
12/06/2023,Massachusetts,71,Towson,81,Towson,-10
12/22/2023,Nicholls St.,55,Towson,65,Towson,-10
12/30/2023,Arcadia,46,Towson,97,Towson,-51
11/06/2023,Fort Lauderdale,47,Troy,92,Troy,-45
11/14/2023,Reinhardt,46,Troy,111,Troy,-65
11/20/2023,Sam Houston St.,88,Troy,86,Troy,2
11/24/2023,Grambling St.,67,Troy,80,Troy,-13
12/01/2023,SIU Edwardsville,60,Troy,83,Troy,-23
12/12/2023,Southern New Orleans,63,Troy,110,Troy,-47
12/21/2023,Eastern Kentucky,81,Troy,88,Troy,-7
11/06/2023,Nicholls St.,81,Tulane,91,Tulane,-10
11/09/2023,Northwestern St.,71,Tulane,88,Tulane,-17
11/17/2023,Sacramento St.,57,Tulane,92,Tulane,-35
11/20/2023,Bradley,80,Tulane,77,Tulane,3
11/29/2023,Prairie View A&M,77,Tulane,98,Tulane,-21
12/14/2023,Furman,110,Tulane,117,Tulane,-7
12/16/2023,Southern,81,Tulane,105,Tulane,-24
12/22/2023,George Mason,69,Tulane,66,Tulane,3
12/29/2023,Dillard,64,Tulane,94,Tulane,-30
11/06/2023,Central Arkansas,53,Tulsa,70,Tulsa,-17
11/11/2023,Incarnate Word,71,Tulsa,85,Tulsa,-14
11/16/2023,Jackson St.,52,Tulsa,72,Tulsa,-20
11/20/2023,South Carolina St.,70,Tulsa,90,Tulsa,-20
12/05/2023,Loyola Chicago,77,Tulsa,88,Tulsa,-11
12/16/2023,Missouri St.,72,Tulsa,73,Tulsa,-1
12/19/2023,Mississippi Valley St.,50,Tulsa,79,Tulsa,-29
12/22/2023,New Mexico St.,59,Tulsa,65,Tulsa,-6
12/29/2023,Southwestern Oklahoma,54,Tulsa,95,Tulsa,-41
11/06/2023,Bradley,73,UAB,71,UAB,2
11/10/2023,Clemson,77,UAB,76,UAB,1
11/12/2023,Maryland,63,UAB,66,UAB,-3
